year_month,avg_review_score
2016-09,1.0
2016-10,3.5700934579439254
2016-12,5.0
2017-01,4.070263488080301
2017-02,4.017454954954955
2017-03,4.0724962630792225
2017-04,4.043859649122807
2017-05,4.142587091547394
2017-06,4.147692307692307
2017-07,4.1711309523809526
2017-08,4.236120709513937
2017-09,4.188683656768763
2017-10,4.123648940769563
2017-11,3.910937085213698
2017-12,4.02021993614757
2018-01,4.040717736369911
2018-02,3.82909144717372
2018-03,3.7524697370251845
2018-04,4.161879895561357
2018-05,4.193779205607477
2018-06,4.278021799251667
2018-07,4.264316477907162
2018-08,4.256358871589333
2018-09,1.8
2018-10,2.25
